nr,url,heimilisfang,tegund,nidurstada,spurning
38812 (04.68.100.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN038812,Asparfell 2-12,Æsufell 2-6 fjölga bílastæðum,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að fjölga bílastæðum um 44 við fjölbýlishús við Æsufell 2-6 á lóð nr. 2-12 við Asparfell  og nr. 2-6 við Æsufell. Samþykki Húsfélags Æsufells 2, 4, 6 dags 11. júlí 2008 og Asparfells 2 - 12 dags. 2. mars 2009. Útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 5. september 2008 og 8. maí 2009 fylgir erindinu. Gjald kr. 7.300 + 7.700"
39825 (01.14.040.9),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN039825,Austurstræti 14,útiveitingar,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Áskilið samþykki heilbrigðiseftirlits. Allur frágangur á svæði útiveitinga er á ábyrgð umsækjanda og ber honum að sjá til þess að allt rusl sé þrifið jafnóðum og fjarlægt.,"Sótt er um leyfi til að koma  fyrir borðum og stólum til útiveitinga fyrir 96 manns á lóð nr. 12A og 14 við Austurstræti. Bréf frá hönnuði dags 28.apríl 2009 fylgir, sömuleiðis samþykki húseiganda dags 22. april 2009 Tölvupóstur frá skrifstofu gatna- og eignaumsýslu dags. 30. apríl 2009 fylgir málinu. Gjald kr. 7.700"
39499 (01.13.901.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN039499,Ásvallagata 56,viðbygging,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að breyta innra skipulagi, stækka með viðbyggingu, setja svalahurð, garðtröppur og kjallaratröppur á einbýlishúsið á lóð nr. 56 við Ásvallagötu. Útskrift úr gerðabók  embættisafgreiðslufundar skipulagsstjóra frá 8. maí 2009 fylgir erindinu. Tillagan var grenndarkynnt frá 26. mars til og með 30. apríl 2009. Engar athugasemdir bárust. Stækkun: 19,5 ferm. og 53,0 rúmm. Gjald kr. 7.700 + 4.081"
39714 (04.94.430.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN039714,Bakkasel  1-17,9 - breyting kjallara,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að innrétta óuppfyllta sökkla raðhúss nr. 9 á lóð nr. 1-17 við Bakkasel. Erindi fylgir bréf umsækjanda dags. 8. maí 2009. Stækkun:  28,4 ferm., 50,7 rúmm. Gjald kr. 7.700 + 3.905"
39787 (01.71.011.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN039787,Barmahlíð 54,"sólpallur, hlið og stigi af svölum",Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa.,"Sótt er um leyfi til að saga úr svalahandriði, byggja timburstiga af svölum niður í garð, til að útbúa hlið milli bílskúrs og húss og til að útbúa sólpall í garðinum við fjölbýlishúsið á lóð nr. 54 við Barmahlíð. Erindi fylgir samþykki meðeigenda árituð á uppdrátt. Gjald kr. 7.700"
39772 (04.06.510.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN039772,Bíldshöfði 20,breyting inni,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að innrétta apótek, gleraugnaverslun og stækka matvöruverslun á 1. hæð í atvinnuhúsnæði á lóð nr. 20 við Bíldshöfða. Gjald kr. 7.700"
38971 (01.22.010.7),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN038971,Borgartún 8-16,breyting á innra skipulagi B1,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til breytinga, sem orðið hafa á byggingartíma, á innra skipulagi 1. - 6. hæðar, svo og neðri kjallara verslunar- og skrifstofuhússins á lóð nr. 8-16 við Borgartún.  Jafnframt er erindi BN37056 dregið til baka. Erindi fylgir brunahönnun frá Línuhönnun, reyndarskýrsla dags. 6. október 2008. Gjald kr. 7.300 + 7.700"
39851 (00.01.800.0),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN039851,Brautarholt 1 125660,"stækka, byggja bílskúr",Frestað. Vísað til athugasemda á umsóknarblaði. Málinu vísað til umsagnar skipulagsstjóra.,"Sótt er um leyfi til að stækka núverandi einbýlishús og byggja bílskúr á jörðinni Brautarholt 1 með landnúmer 125660 á Kjalarnesi. Bréf frá hönnuði fylgir erindinu dags. 5. maí 2009. Stækkun:  Einbýlishús 90,6 ferm.  454,6 rúmm.  Bílskúr 65,2 ferm. og 203,8 rúmm.  Samtals stækkun: 155,8 ferm og 658,4 rúmm. Gjald kr. 7.700 + 50.697"
39622 (01.85.020.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN039622,Dalaland 1-11 2-16,nr. 3 svalaskýli,Frestað. Enn vantar úttektarskýrslu vegna brunavarna.,"Sótt er um leyfi til að byggja svalaskýli við íbúð 0301 í fjölbýlishúsi á lóð nr. 3 við Dalaland. Meðfylgjandi er samþykki allra meðeigenda dags. feb. 2009 og síðar. Stærðir 13,5 ferm., 36,5 rúmm. Gjald kr. 7.700 + 7.700 + 2.811"
32330 (01.67.201.5),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN032330,Einarsnes 48,"sólstofa, stækkun á bískúr o.fl.",Frestað. Vísað til athugasemda á umsóknarblaði. Skipulagsferli ólokið.,"Sótt er um leyfi til að stækka bílskúr, koma fyrir nýrri hurð, byggja sólstofu á suðurhlið og stækka í vesturátt einbýlishús á lóð nr. 48 við Einarsnes. Útskrift úr gerðabók embættisafgreiðslufundar skipulagsfulltrúa frá 2. september 2005 fylgir erindinu. Einnig nýtt deiliskipulag dags. 28.4. 2009 og samþykki nágranna Einarsnesi 46 dags. 28.4. 2009 Stækkun: xx ferm. og xx rúmm. Gjald kr. 5.700 + 7.700 + xx"
39691 (08.1-.--6.4),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN039691,Elliðavatnsblettur 35,"þak yfir hús, klæðning, gluggar",Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að byggja nýtt þak og klæða að utan með lóðréttri viðarklæðningu sumarhúsið á lóðinni Elliðavatnsblettur 35. Einnig er gerð grein fyrir bátaskýli á sömu lóð og eldra erindi BN038872 dregið til baka. Erindi fylgir yfirlýsing frá OR dags. 10. mars 2009 ásamt útskrift úr gerðabók embættisafgreiðslufundar skipulagsstjóra frá 8. maí 2009. Bátaskýli:  xx ferm., xx rúmm. Stækkun sumarhúss:  xx ferm., xx rúmm. Gjald kr. 7.700 + xx"
39855 (01.08.940.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN039855,Fiskislóð  5-9,reyndarteikningar,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi fyrir reyndarteikningum með ýmsum breytingum og stækkun á iðnaðarhúsi á lóð nr. 5-9 við Fiskislóð. Stækkun xx ferm.? , xx rúmm.? Gjald kr. 7.700 + xxx"
38946 (01.18.510.9),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN038946,Fjólugata 13,"bílskúr, anddyri",Frestað. Vísað til athugasemda á umsóknarblaði. Að þeim uppfylltum verður málið sent skipulagsstjóra til ákvörðunar um grenndarkynningu.,"Sótt er um leyfi til að byggja bílskúr, til að byggja nýtt anddyri á norðurhlið, koma fyrir nýjum gluggum á austurhlið kjallara , grafa frá kjallara og síkka glugga á vesturhlið  og til að breyta innra skipulagi og gluggagerð einbýlishússins nr. 13 við Fjólugötu. Viðbygging:  18,3 ferm., 49,5 rúmm. Bílskúr:  38 ferm. 112,7 rúmm. Samtals stækkun:  56,3 ferm., 162,2 rúmm. Gjald kr. 7.300 + 12.489"
39800 (01.80.700.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN039800,Furugerði 1,"br. á gluggum, salernum og eldhúsum",Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Skilyrt er að eignaskiptayfirlýsingu vegna breytinga í húsinu sé þinglýst fyrir útgáfu á byggingarleyfi. Áskilin lokaúttekt byggingarfulltrúa.  Áskilið samþykki heilbrigðiseftirlits.,"Sótt er um leyfi til að breyta gluggum á 9. hæð, salernum og eldhúsum íbúða 0901, 0902,0905, 0906 og aðgengi að sorprennum sbr. nýsamþykkt erindi BN039414 dags. 20.1. 2009, í fjölbýlishúsi á lóð nr. 1 við Furugerði."
39848 (00.00.000.0),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN039848,Geirsgata 3b,innrétta veitingastað - gluggi,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að innrétta veitingastað á 1. hæð og geymslur á 2. hæð og setja glugga á norðurgafl húss nr. 3B á lóð nr. 3-7C við Geirsgötu. Sjá fyrirspurn BN039675 dags. 31.3. 2009. Meðfylgjandi er bréf Faxaflóahafna dags. 11. maí 2009 Gjald kr. 7.700
39858 (01.23.400.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN039858,Hátún 14,brunahönnunartexti uppfærður,Frestað. Vísað til athugasemda eldvarnaeftirlits.,Sótt er um leyfi fyrir breytingum á áður samþykktu erindi BN039479 frá 31.mars. 2009. Breytingar fela í sér að uppfæra brunahönnunartexta í íþróttahúsi fatlaðra á lóð nr. 14 við Hátún. Gjald kr. 7.700
39798 (01.40.810.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN039798,Holtavegur 8-10,10 - söluskáli,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að setja upp sölubás og til að breyta innra skipulagi í verslunarhúsinu á lóð nr. 8-10 við Holtaveg. Gjald kr. 7.700
39308 (04.34.330.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN039308,Hraunbær 102,nr. 102a breyting inni,Frestað. Með vísan til athugasemda skipulagsstjóra er ekki heimilt að starfrækja veitingarekstur í flokki 3 á íbúðarsvæðum og verður umsækjandi að aðlaga umsókn sína að þeirri staðreynd.,Sótt er um leyfi til að breyta innra skipulagi veitingastaðar og skilgreina hann í flokki 3 í eignarhluta 0108 í  húsi á lóð nr. 102A við Hraunbæ. Gjald kr. 7.300 + 7.700
39861 (01.24.730.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN039861,Hrefnugata 4,"viðbygging, svalir á rishæð",Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að byggja svalir á rishæð og gerð er grein fyrir stækkun á kvisti á suðurhlið fjölbýlishússins á lóð nr. 4 við Hrefnugötu. Erindi fylgir fsp. dags. 10. febrúar 2009. Áður gerð stækkun:   xx ferm., xx rúmm. Gjald kr. 7.700 + xx"
39839 (02.87.420.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN039839,Hverafold  1-5,1-3 breytt notkun rými 0307,Frestað. Með byggingrleyfisumsók skal skila gögnum í samræmi við ákvæði 12. og 18. gr. byggingarreglugerðar nr. 441/1998 svo unnt sé að fjalla um málið.,Sótt er um leyfi til að breyta rými 0307 úr heilsugæslu í snyrtistofu í Hverfismiðstöð við Grafarvog í húsi á lóð nr. 1-3 við Hverafold. Gjald kr. 7.700
39738 (04.07.000.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN039738,Höfðabakki 1,innri breytingar,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að breyta innréttingum í veitingasölu í fl. 1 (veitingar til meðtöku) á 1. hæð í húsi á lóð nr. 1 við Höfðabakka. Meðfylgjandi er A - afrit af leyfisbréfi, sem er í gildi, dags. 28.6. 2005, B - bréf frá rekstraraðila dags. 22.4. 2009, C - staðfesting eiganda og nágranna um aðgengi og flóttaleið dags. 22.4. 2009, D - staðfesting um að ljós sé í lagi, dags 10.4. 2009 Gjald kr. 7.700"
39841 (01.32.450.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN039841,Klettagarðar 23,breyting inni,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi fyrir breytingum á áður samþykktu erindi, BN039157 dags. 2. desember 2008.  Breytingar fela í sér að bætt er við búningsaðstöðu og geymslu á 1. hæð og millipalli í atvinnuhúsnæðinu á lóð nr. 23 við Klettagarða. Gjald kr. 7.700"
39796 (01.72.100.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN039796,Kringlan  4-12,sameina einingar S-375 og S-377,Frestað. Vísað til athugasemda eldvarnaeftirlits.,"Sótt er um leyfi til að sameina einingar S-375 og S-377 undir númeri S-375, bæta starfsmannaðstöðu og koma fyrir lager, á 3. hæð verslunarhússins Kringlunnar á lóð nr. 4-12 við Kringluna Meðfylgjandi er bréf brunahönnuðar dags 21.4. 2009 Gjald kr. 7.700"
39763 (01.22.212.3),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN039763,Laugavegur 141,breyting á burðarvirki,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að breyta innra skipulagi íbúðar í kjallara í fjölbýlishúsi á lóð nr. 141 við Laugaveg. Samþykki burðavirkishönnuðar dags. 14. apríl 2009. Gjald kr. 7.700
39644 (01.17.310.4),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN039644,Laugavegur 46B,skipta húseign í tvær íbúðareiningar,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að skipta einbýlishúsi í tvær íbúðareiningar með sameiginlegri lóð, setja kvist á þakflöt í norður og skipta um bárujárnsklæðningu á íbúðarhúsi á lóð nr. 46B við Laugaveg. Meðfylgjandi er bréf frá Húsafriðunarnefnd dags. 20. mars 2009 Stærðir: Íbúð 0101 xx ferm., xx rúmm. 0102 xx ferm., xx rúmm. eftir hæðum og kjallari. Gjald kr. 7.700 + xxx"
39847 (01.87.410.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN039847,Láland 17-23,nr. 21 breyta og byggja við,Frestað. Málinu vísað til umsagnar skipulagsstjóra.,"Sótt er um leyfi til að byggja viðbyggingu til suðurs og til að breyta innra fyrirkomulagi og útliti einbýlishússins nr. 21 á lóð nr, 17-21 við Láland. Stækkun:  xx ferm., xx rúmm. Gjald kr. 7.700 + xx"
38753 (01.13.201.9),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN038753,Nýlendugata 7,breyting 1. hæð,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að breyta innra skipulagi á 1. hæð í fjölbýlishúsi á lóð nr. 7 við Nýlendugötu. Erindi fylgir bréf hönnuðar dags. 16. mars 2009.  Undirskrift  burðarvirkjahönnuðar er á teikningu. Gjald kr. 7.300 + 7.700
