nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
25098 (04.63.220.1 09),BN025098,Arnarbakki 1-3,færanlegar kennslustofur,Frestað. Vísað til athugasemda eldvarnareftirlits. Málinu vísað til umsagnar skipulagsfulltrúa.,Sótt er um leyfi til þess að koma fyrir tveimur færanlegum kennslustofum úr timbri austan við Breiðholtsskóla á lóðinni nr. 1-3 við Arnarbakka.  Alls verða þá átta færanlegar kennslustofur á lóðinni.  Gjald kr. 4.800
25144 (04.67.07-.- 06),BN025144,Austurberg 38,Klæðning gafla,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til þess að klæða með stálklæðningu gafla og norðurhlið hússins nr. 38 á lóðinni nr. 28-38 við Austurberg.  Ástandsskýrsla dags. 24. maí 2002 fylgir erindinu.  Gjald kr. 4.800
23342 (01.29.000.1),BN023342,Ármúli 4,"Tengibygg, lóðasameining",Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að byggja steinsteypta tengibyggingu einangraða að utan og klædda múrkerfi á lóðinni nr. 4-6 við Ármúla.  Umsögn Borgarskipulags dags. 10. júlí 2001, bréf hönnuðar dags. 17. júlí 2001, bréf meðeigenda dags. 3. september 2001 fylgir erindinu.   Samþykki meðeigenda dags. 19. febrúar 2002 fylgir erindinu.  Stærð: Tengibygging 113,3 ferm. og 512,6 rúmm.  Gjald kr. 4.100 + 2.101"
25105 (02.40.440.1),BN025105,Barðastaðir 37-43,nr. 37 breyting úti,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða.,Sótt er um leyfi til þess að breyta gluggasetningu og koma fyrir dyrum að verönd á suðvesturgafli hússins nr. 37 á lóðinni nr. 37-43 við Barðastaði.  Gjald kr. 4.800
24992 (01.78.200.2 02),BN024992,Birkihlíð 9,garðhús,"Frestað. Vísað til athugasemda á umsóknarblaði. Málinu vísað til skipulagsfulltrúa til ákvörðunar um grenndarkynningu. Vísað er til uppdrátta nr. 1, 2, 3, 4, 5 og 6 dags. 19. apríl 2002.","Sótt er um leyfi til þess að byggja sólstofu að suðurhlið fyrstu hæðar hússins nr. 9 á raðhúsalóðinni nr. 7-11 við Birkihlíð.  Samþykki meðlóðarhafa dags. 30. apríl 2002 fylgir erindinu.  Stærð: Sólstofa 12,0 ferm. og 31,3 rúmm.  Gjald kr. 4.800 + 1.502"
25032 (01.21.910.2),BN025032,Borgartún  35-37,(35) reyndarteikningar,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um samþykki fyrir breyttri útfærslu á útloftun og flóttastiga frá opinni bílgeymslu, leyfi til þess að breyta innra skipulagi á öllum hæðum, fjölga eignum og leiðrétta stærðir húss nr. 35 á lóð nr. 35-37 við Borgartún.  Bréf hönnuðar dags. 23. maí 2002 fylgir erindinu.  Stærð: Kjallari var 482,3 ferm. verður 504,4 ferm., 1. hæð var 571,2 ferm. verður 577,3 ferm., 2.- 5. hæð var hver hæð 555,1 ferm. verður 570,4 ferm., 6. hæð var 247 ferm. verður 241,2 ferm., samtals var hús 3520,9 ferm. verður 3604,5 ferm., var 12027,3 rúmm. verður 12234 rúmm.  Gjald kr. 4.800 + 9.922"
24815 (01.18.621.7),BN024815,Bragagata 31,reyndarteikningar,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um samþykki fyrir áður gerðum kvistum á norðvesturþekju, fyrir áður gerðum geymsluskúr á baklóð og áður gerðum innri breytingum t.d. afmörkun séreigna á þakhæð fjöleignarhússins á lóð nr. 32 við Bragagötu.  Íbúðarskoðun byggingarfulltrúa dags. 27. október 2000 fylgir erindinu.  Stærð: Áður gerð stækkun íbúðarhúss samtals 14,6 ferm., 24,2 rúmm., áður gerður geymsluskúr 7,6 ferm., 19,5  rúmm.  Gjald kr. 4.800 + 2.098"
24962 (00.01.800.0),BN024962,Brautarholt,Viðbygging - verkstæði/vélageymsla.,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að byggja steinsteypta viðbyggingu sem hýsir hluta starfsmannaaðstöðu við austurhlið fjós- og verkstæðisbyggingar á jörðinni Brautarholti á Kjalarnesi.   Umsögn húsafriðunarnefndar dags. 3. október 1997 fylgir erindinu.  Stærð: 34,3 ferm., 133,0 rúmm.  Gjald kr. 4.800 + 6.384"
24967 (01.16.233.4),BN024967,Brávallagata 18,reyndarteikningar,Frestað. Lagfæra skráningu.,Sótt er um samþykki fyrir skiptingu kjallara í sérgeymslur og fyrir grunnmynd 4. hæðar án glerskála sem aldrei var byggður vegna gerðar eignaskiptayfirlýsingar á lóð nr. 18 við Brávallagötu.  Gjald kr. 4.800
23172 (01.81.600.1),BN023172,Breiðagerði 2,Garðhús.,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997.,"Að lokinni grenndarkynningu byggingarleyfisumsóknar er lögð fram að nýju umsókn, þar sem sótt er um leyfi til þess að byggja garðhús úr álprófílum og gleri milli bílskúrs og einbýlishúss á lóð nr. 2 við Breiðagerði, samkv. uppdr. Teiknistofunnar ehf, dags. 17.05.01. Einnig lögð fram umsögn Borgarskipulags dags. 14.06.2001. Málið var í kynningu frá 21. júní til 20. júlí 2001. Engar athugasemdir bárust.  Stærð: Garðhús 17,7 ferm., 51,8 rúmm.  Gjald kr. 4.100 + 2.486"
25135 (01.81.822.1),BN025135,Bústaðavegur 65,áður gerðar breytingar,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um samþykki fyrir reyndarteikningum og áður gerðum breytingum á húsinu á lóðinni nr. 65 við Bústaðaveg.  Húsið hefur verið klætt með bárustáli, byggt hefur verið anddyri að norðurhlið og útigeymslur á lóð.  Samþykki meðeigenda dags. 14. maí 2002 fylgir erindinu.  Stærð: Stækkun anddyri xx, útigeymslur xx  Gjald kr. 4.800 + xx"
25136 (01.81.822.2),BN025136,Bústaðavegur 67,áður gerðar breytingar,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um samþykki fyrir reyndarteikningum og áður gerðum breytingum á húsinu á lóðinni nr. 67 við Bústaðaveg.  Húsið hefur verið klætt með bárustáli, byggt hefur verið anddyri að norðurhlið og útigeymslur á lóð.  Samþykki meðeigenda dags. 14. maí 2002 fylgir erindinu.  Stærð: Stækkun anddyri xx, útigeymslur xx  Gjald kr. 4.800 + xx"
