nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
27093 (01.13.650.1),BN027093,Aðalstræti 4,stækkun kjallara,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að stækka kjallara í hótelbyggingu sem samþykkt var 8. jan. 2003 á lóðinni nr. 4 við Aðalstræti.   Stækkun: 192,6 ferm. og 672,5 rúmm. Greiða skal fyrir 3,85 bílastæði í flokki II (3,85 x 648.654,53 = 2.497.320).  Gjald kr. 5.100 + 34.297"
27160 (00.00.000.0),BN027160,Barónsstígur 2,"Samræming 1., 3. og 4. hæð",Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki Vinnueftirlits ríkisins. Áskilið samþykki heilbrigðiseftirlits.,"Sótt er um leyfi fyrir minniháttar breytingum á innra fyrirkomulagi á fyrstu, þriðju og fjórðu hæð Hótel Baróns (matshl. 02) á lóðinni nr. 2-4 við Barónsstíg.  Erindinu fylgir skýrsla brunnahönnuðar endurskoðuð 29. apríl 2003.  Gjald kr. 5.100"
24665 (01.18.600.6),BN024665,Bergstaðastræti 55,íbúð á 1. hæð.,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að sameina tvær eignir, íbúð og verslunarhúsnæði, og gera úr þeim eina íbúð á fyrstu hæð í húsinu á lóðinni nr. 55 við Bergstaðastræti.  Samþykki nokkurra meðeigenda dags. 20. janúar 2002 fylgir erindinu.  Gjald kr. 4.800"
27063 (04.06.410.2),BN027063,Bíldshöfði 14,0201 skipt í tvo eignarhluta,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að breyta innra fyrirkomulagi og eignaafmörkun í austurhluta annarrar hæðar matshluta 02 á lóðinni nr. 14 við Bíldshöfða. Jafnframt er sótt um leyfi fyrir innkeyrsluhurð og skábraut við suðurhlið hússins.  Gjald kr. 5.100
27075 (04.05.920.1),BN027075,Bíldshöfði 2,stakstætt verðskilti,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að koma fyrir tveimur stakstæðum ljósaskiltum á lóðinni nr. 2 við Bíldshöfða. Skiltin verði um 220 cm á hæð, um 175 cm á breidd og samanlagður skiltaflötur hvors þeirra um 2 x 2.6 ferm.  Gjald kr. 5.100"
26963 (01.71.120.3),BN026963,Bogahlíð 7-9,sérgeymslur þakhæð,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,Sótt er um leyfi til þess að nýta þakhæð sem geymslurými í húsinu nr. 7-9 við Bogahlíð.  Gjald kr. 5.100
27123 (01.24.780.4),BN027123,Bollagata 12,breyting inni,Var samþykkt 16. apríl 2003. Samræmist ákvæðum laga nr. 73/1997.,Sótt er um samþykki fyrir leiðréttum teikningum af húsinu á lóðinni nr. 12 við Bollagötu.  Gjald kr. 5100
27078 (01.21.910.3),BN027078,Borgartún 39,stakstætt verðskilti,Frestað.,"Sótt er um leyfi til að koma fyrir stakstæðu ljósaskilti á lóðinni nr. 39 við Borgartún. Skiltið verði um 220 cm á hæð, um 175 cm á breidd og samanlagður skiltaflötur um 2 x 2.6 ferm.  Gjald kr. 5.100"
27002 (32.47.440.6),BN027002,Búagrund 17,Einbýli m. innb. bílg.,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að byggja einlyft steinsteypt einbýlishús með innbyggðri bílgeymslu á lóð nr. 17 við Búagrund.  Ljósrit af afsali varðandi lóð dags. 30. september 2002 fylgir erindinu.  Stærð: Einbýlishús íbúð 223 ferm., bílgeymsla 43,9 ferm., samtals 268,4 ferm., 1022,1 rúmm.  Gjald kr. 5.100 + 52.127"
27068 (04.30.960.1),BN027068,Bæjarháls 1,reyndarteikningar,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um samþykki fyrir breyttum salarhæðum, breyttu útliti glerbyggingar og austurhúss ásamt breyttu innra skipulagi allra hæða húss Orkuveitu Reykjavíkur nr. 1 við Bæjarháls á lóð nr. 1 við Réttarháls.  Stærð: xxx ferm., xxx rúmm.  Gjald kr. 5.100 + xxx"
26987 (04.94.870.3),BN026987,Dalsel 24-40,(38-40) lokun svala,Frestað. Lagfæra skráningu.,"Sótt er um leyfi til að gera svalaskýli á fjölbýlishúsunum nr. 38 og 40 við Dalsel á lóðinni nr. 24-40 við Dalsel.  Erindinu fylgir samþykki meðlóðarhafa að Dalseli 24, 26, 28, 30, 32, 34 og 36, bréf formanns sameiginlegs húsfélags vegna framkvæmdanna dags. 10. apríl 2003.  Gjald kr. 5.100"
26156 (01.35.520.9),BN026156,Efstasund 20,viðbygging,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til þess að byggja steinsteypta viðbyggingu klædda bárujárni að vesturhlið hússins á lóðinni nr. 20 við Efstasund.  Málið var í kynningu frá 26. febrúar til 27. mars 2003. Engar athugasemdir bárust.  Stærð: Viðbygging xx ferm. og xx rúmm.  Gjald kr. 4.800 + xx
26810 (01.41.000.4),BN026810,Efstasund 72,reyndarteikning,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,"Sótt er um samþykki fyrir núverandi fyrirkomulagi í húsi og í bílskúr á lóðinni nr. 72 við Efstasund.  Gerð er grein fyrir áður gerðri íbúð í kjallara og breytingum á stærðum bílskúrs.  Skoðunarskýrslur byggingarfulltrúa dags. 12. júní 2002 og 4. mars 2003 fylgja erindinu. Virðingargjörð dags. 24. júní 1948 og afsal dags. 30. ágúst 1962 fylgja erindinu.   Stærð: Stækkun bílskúrs (matshl. 70) 6,3 ferm. og 17,0 rúmm.  Gjald kr. 5.100 + 867"
26974 (01.36.650.1),BN026974,Engjateigur 7,br. á eignarhlutum,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Frágangur á lóðamörkum verði gerður í samráði við lóðarhafa aðliggjandi lóða. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits.,Sótt er um leyfi til þess að breyta eignarhlutum ásamt  samþykki fyrir breyttum brunamerkingum í atvinnuhúsinu á lóð nr. 7 við Engjateig.  Umboð til hönnuðar dags. 30. október 2001 fylgir erindinu.  Gjald kr. 5.100
27077 (00.00.000.0),BN027077,Fellsmúli 30,stakstætt verðskilti nr 30,Frestað. Lagfæra gögn.,"Sótt er um leyfi til að koma fyrir stakstæðu ljósaskilti ESSO á lóðinni nr. 24-30 við Fellsmúla. Skiltið verði um 220 cm á hæð, um 175 cm á breidd og samanlagður skiltaflötur um 2 x 2.6 ferm.  Gjald kr. 5.100"
27129 (02.46.740.1),BN027129,Fossaleynir 16,"fj. eigna, br. útl., fj. bílast.",Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að breyta útliti suður- og norðurhliðar, fjölga eignum og fjölga bílastæðum á lóð nr. 16 við Fossaleynir.  Gjald kr. 5.100"
27148 (01.18.212.3),BN027148,Frakkastígur 14B,viðbygging ofl.  (14B),Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að breyta innra fyrirkomulagi og útliti hússins nr. 14A við Frakkastíg og byggja við norður og vestur hliðar. Í húsinu verði þrjár íbúðir eftir breytingu í stað verslunar í íbúðarhúsnæðis.  Stækkun: xx  Gjald kr. 5.100 + xx
27074 (01.11.810.1),BN027074,Geirsgata 19,stakstætt verðskilti,Frestað. Gera grein fyrir ósamþykktum skiltum á lóð. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að koma fyrir stakstæðu ljósaskilti á lóðinni nr. 19 við Geirsgötu. Skiltið verði um 220 cm á hæð, um 175 cm á breidd og samanlagður skiltaflötur um 2 x 2.6 ferm.  Gjald kr. 5.100"
27094 (01.85.110.1 25),BN027094,Geitland 6,6-8  veggur milli svala,Samþykkt. Samræmist ákvæðum laga nr. 73/1997.,Sótt er umt leyfi til að setja upp vegg úr glerhleðslusteini milli svala á suður- og norðurhlið 3. hæðar fjölbýlishúss nr. 6-8 á lóð nr. 2-12 og 1-43 við Geitland.  Erindinu fylgir samþykki húseigenda að Geitlandi 6 og Geitlandi 8.  Gjald kr. 5.100
26903 (01.43.221.1),BN026903,Goðheimar 20,reyndarteikningar,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Afmörkun séreignar ósamþykktrar íbúðar í kjallara er gerð með vísan til 15. gr. reglugerðar nr. 910/2000.,Sótt er um samþykki fyrir núverandi fyrirkomulagi í húsinu á lóðinni nr. 20 við Goðheima.   Gerð er grein fyrir áður gerðri séreign (ósamþ. íb. 0002) í kjallara hússins.  Afsalsbréf dags. 29. júní 1968 og 1. júní 1977 fylgja erindinu.  Gjald kr. 5.100
27030 (01.51.560.9),BN027030,Granaskjól 4,breytingar,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Helga Guðmundsdóttir vék af fundi við afgreiðslu málsins.,Sótt er um samþykki fyrir núverandi fyrirkomulagi í kjallara hússins á lóðinni nr. 4 við Granaskjól vegna eignaskiptayfirlýsingar.  Gerð er grein fyrir eignarhaldi í kjallara hússins.  Samþykki meðeiganda dags. 3. apríl 2003 fylgir erindinu.  Gjald kr. 5.100
26980 (01.29.540.3),BN026980,Grensásvegur 16,veitingarekstur,Frestað. Vísað til athugasemda eldvarnaeftirlits.,Sótt er um leyfi til þess að innrétta veitingahús með sætum fyrir u.þ.b. 25 gesti á fyrstu hæð hússins á lóðinni nr. 16 við Grensásveg.  Gjald kr. 5.100
26995 (01.80.121.3),BN026995,Grensásvegur 26,"br. á starfsmannaaðst., kaffitería o.fl.",Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að fella niður stiga milli 1. og 2. hæðar (suðurhlið), innrétta kaffiteríu í bakaríi á 1. hæð, færa starfsmannaaðstöðu í kjallara og á 1. hæð og innrétta sjálfstæða íbúð á 2. hæð hússins á lóð nr. 26 við Grensásveg.  Jafnframt er erindi 26746 dregið til baka.  Gjald kr. 5.100"
25796 (01.17.432.3),BN025796,Grettisgata 69,reyndarteikningar,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Afmörkun ósamþykktrar íbúðar í kjallara er gerð með vísan til 15. gr. reglugerðar nr. 910/2000.,Sótt er um samþykki fyrir núverandi fyrirkomulagi í húsinu á lóðinni nr. 69 við Grettisgötu.  Gerð er grein fyrir innra skipulagi á öllum hæðum og sýnd er áður gerð séreign (ósamþ. íb.) í kjallara hússins.  Samþykki meðeigenda (á teikn.) fylgir erindinu. Afsalsbréf dags. 13. maí 1982 (íb. 0001) fylgir erindinu.  Gjald kr. 4.800
